index,prefix,suffix,target,target_type,which_word,item,condition,question,response_A,response_B,answer,group
0,"To improve the design, the architect made a few changes he wanted to", the initial draft.,after,word,A,0,wordA,Which draft did the architect modify?,a subsequent draft,the initial draft,A,0
1,"To improve the design, the architect made a few changes he wanted to", the initial draft.,alter,word,B,0,wordB,Which draft did the architect modify?,a subsequent draft,the initial draft,B,1
2,"To improve the design, the architect made a few changes he wanted to", the initial draft.,atter,typo_sim,,0,typo_sim,Which draft did the architect modify?,a subsequent draft,the initial draft,neither,2
3,"The hospital policy states that before doctors proceed with a potentially dangerous treatment plan, it is necessary to", the patient understands all the risks involved.,assume,word,A,1,wordA,Does the policy require that the patient understands the risks?,Not necessarily.,Yes.,A,1
4,"The hospital policy states that before doctors proceed with a potentially dangerous treatment plan, it is necessary to", the patient understands all the risks involved.,assure,word,B,1,wordB,Does the policy require that the patient understands the risks?,Not necessarily.,Yes.,B,2
5,"The hospital policy states that before doctors proceed with a potentially dangerous treatment plan, it is necessary to", the patient understands all the risks involved.,assune,typo_sim,,1,typo_sim,Does the policy require that the patient understands the risks?,Not necessarily.,Yes.,neither,0
6,"The mission seemed to be going according to plan, so the team all agreed that success was", and asked no questions.,assumed,word,A,2,wordA,Did the team believe that the mission was certain to succeed?,Not necessarily.,Yes.,A,0
7,"The mission seemed to be going according to plan, so the team all agreed that success was", and asked no questions.,assured,word,B,2,wordB,Did the team believe that the mission was certain to succeed?,Not necessarily.,Yes.,B,1
8,"The mission seemed to be going according to plan, so the team all agreed that success was", and asked no questions.,assuned,typo_sim,,2,typo_sim,Did the team believe that the mission was certain to succeed?,Not necessarily.,Yes.,neither,2
9,"The community center will host a special event this weekend, and everyone is excited about the", on Sunday evening.,ballet,word,A,3,wordA,What kind of event is going to be held?,A performance.,A vote.,A,1
10,"The community center will host a special event this weekend, and everyone is excited about the", on Sunday evening.,ballot,word,B,3,wordB,What kind of event is going to be held?,A performance.,A vote.,B,2
11,"The community center will host a special event this weekend, and everyone is excited about the", on Sunday evening.,ballct,typo_sim,,3,typo_sim,What kind of event is going to be held?,A performance.,A vote.,neither,0
12,"After a full game of table tennis, there are usually several lost", under the table.,balls,word,A,4,wordA,What might be found on the floor after the game?,Table tennis equipment.,Paper money.,A,0
13,"After a full game of table tennis, there are usually several lost", under the table.,bills,word,B,4,wordB,What might be found on the floor after the game?,Table tennis equipment.,Paper money.,B,1
14,"After a full game of table tennis, there are usually several lost", under the table.,bolls,typo_sim,,4,typo_sim,What might be found on the floor after the game?,Table tennis equipment.,Paper money.,neither,2
15,"The room was unadorned and cold, with a floor of concrete, and walls that were mostly", and had no windows.,bare,word,A,5,wordA,What best describes the walls of the room?,The were blank.,They were made of strips of material.,A,1
